epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3147.19,2.06478,3.98074,0.81534,0.51669,0.11763,0.1164,0.06806,2.89913,9.2145,0.81413,0.000594286,0.000594286,0.000594286
67,3184.21,2.02365,4.25662,1.26253,0.51669,0.11763,0.1164,0.06806,2.89913,9.2145,0.81413,0.000577782,0.000577782,0.000577782
68,3223.06,1.94413,4.6113,0.80418,0.52745,0.12907,0.11956,0.07888,2.43463,7.52453,0.72697,0.000561279,0.000561279,0.000561279
69,3273.99,2.14002,4.49671,0.72443,0.52745,0.12907,0.11956,0.07888,2.43463,7.52453,0.72697,0.000544776,0.000544776,0.000544776
70,3312.51,2.11703,3.95847,0.75638,0.51354,0.13784,0.12756,0.07937,2.62697,6.17838,0.69772,0.000528272,0.000528272,0.000528272
71,3350.47,1.75421,3.48774,0.89884,0.51354,0.13784,0.12756,0.07937,2.62697,6.17838,0.69772,0.000511769,0.000511769,0.000511769
72,3387.91,1.90065,3.70285,0.92587,0.52296,0.14662,0.14085,0.07509,2.65132,4.68868,0.67249,0.000495266,0.000495266,0.000495266
73,3427.12,2.18024,3.96772,0.76168,0.52296,0.14662,0.14085,0.07509,2.65132,4.68868,0.67249,0.000478762,0.000478762,0.000478762
74,3467.13,1.98791,3.94758,0.82338,0.59798,0.15758,0.16399,0.07726,2.5312,4.14026,0.68037,0.000462259,0.000462259,0.000462259
75,3505.63,1.92858,3.69362,0.98558,0.59798,0.15758,0.16399,0.07726,2.5312,4.14026,0.68037,0.000445756,0.000445756,0.000445756
76,3544.42,1.79476,4.23575,0.76882,0.71253,0.17513,0.18533,0.09231,2.45263,3.76599,0.70622,0.000429253,0.000429253,0.000429253
77,3594.87,1.81441,3.61727,0.85574,0.71253,0.17513,0.18533,0.09231,2.45263,3.76599,0.70622,0.000412749,0.000412749,0.000412749
78,3646.81,1.57734,3.75522,0.81861,0.66584,0.17074,0.18094,0.09641,2.32309,3.89388,0.66006,0.000396246,0.000396246,0.000396246
79,3696.83,1.72866,3.84094,0.98645,0.66584,0.17074,0.18094,0.09641,2.32309,3.89388,0.66006,0.000379743,0.000379743,0.000379743
